"Unless indicated otherwise, individual judges scores in the charts below (given in parentheses) are listed in this order from left to right: Craig Revel Horwood, Darcey Bussell, Len Goodman, Bruno Tonioli.",,,,
,,,,
Launch show,,,,
,,,,
"Musical guests: 5 Seconds of Summer—""Amnesia"" and Smokey Robinson & Imelda May—""Get Ready""",,,,
,,,,
Week 1,,,,
,,,,
Running order (Night 1 – Friday),,,,
,,,,
Couple,Score[16],Dance,Music[17],
Caroline & Pasha,"27 (6,7,7,7)",Cha-Cha-Cha,"""Can You Feel It""—The Jacksons",
Tim & Natalie,"18 (3,5,5,5)",Cha-Cha-Cha,"""Shop Around""—Captain & Tennille",
Jake & Janette,"28 (7,7,7,7)",Tango,"""Toxic""—Britney Spears",
Judy & Anton,"18 (3,4,6,5)",Waltz,"""Mull of Kintyre""—Wings",
Scott & Joanne,"16 (2,4,5,5)",Cha-Cha-Cha,"""Rock DJ""—Robbie Williams",
Pixie & Trent,"27 (7,6,7,7)",Jive,"""Shake It Off""—Taylor Swift",
,,,,
Running order (Night 2 – Saturday),,,,
,,,,
Couple,Score[16],Dance,Music[17],
Mark & Karen,"24 (5,7,6,6)",Cha-Cha-Cha,"""I'm Your Man""—Wham!",
Alison & Aljaž,"26 (6,6,7,7)",Cha-Cha-Cha,"""I'm Every Woman""—Chaka Khan",
Steve & Ola,"26 (6,6,7,7)",Tango,"""Born to Be Wild""—Steppenwolf",
Jennifer & Tristan,"18 (3,5,5,5)",Jive,"""Happy""—Pharrell Williams",
Thom & Iveta,"23 (5,6,6,6)",Waltz,"""You Raise Me Up""—Westlife",
Sunetra & Brendan,"24 (5,6,6,7)",Tango,"""Bad Case of Loving You (Doctor, Doctor)""—Robert Palmer",
Gregg & Aliona,"18 (3,5,5,5)",Cha-Cha-Cha,"""Hot n Cold""—Katy Perry",
Frankie & Kevin,"30 (7,7,8,8)",Waltz,"""Someone Like You""—Adele",
Simon & Kristina,"27 (6,7,7,7)",Jive,"""Good Golly, Miss Molly""—Little Richard",
,,,,
Week 2,,,,
,,,,
"Musical guests: Jamie Cullum and Gregory Porter—""Don't Let Me Be Misunderstood""[18]",,,,
,,,,
Running order,,,,
,,,,
Couple,Score[19],Dance,Music[20],Result[21]
Thom & Iveta,"25 (5,7,7,6)",Salsa,"""Hot Hot Hot""—Arrow",Safe
Jennifer & Tristan,"19 (4,5,5,5)",Waltz,"""(You Make Me Feel Like) A Natural Woman""—Aretha Franklin",Bottom two
Simon & Kristina,"26 (5,7,7,7)",Tango,"""Sing""—Ed Sheeran",Safe
Gregg & Aliona,"18 (3,5,5,5)",Charleston,"""Hey, Good Lookin'""—Ray Charles",Eliminated
Alison & Aljaž,"22 (5,5,6,6)",Foxtrot,"""I Just Want to Make Love to You""—Etta James",Safe
Jake & Janette,"35 (8,9,9,9)",Salsa,"""Mambo No. 5""—Lou Bega",Safe
Judy & Anton,"17 (2,5,5,5)",Cha-Cha-Cha,"""She's a Lady""—Tom Jones",Safe
Caroline & Pasha,"29 (7,7,7,8)",Tango,"""Blame""—Calvin Harris & John Newman",Safe
Tim & Natalie,"23 (5,6,6,6)",Waltz,"""When You Wish upon a Star""—Cliff Edwards",Safe
Sunetra & Brendan,"26 (6,6,7,7)",Cha-Cha-Cha,"""Million Dollar Bill""—Whitney Houston",Safe
Mark & Karen,"27 (6,7,7,7)",American Smooth,"""I'm Yours""—Jason Mraz",Safe
Scott & Joanne,"20 (4,5,6,5)",Tango,"""Stop""—Spice Girls",Safe
Pixie & Trent,"35 (8,9,9,9)",Waltz,"""Come Away with Me""—Norah Jones",Safe
Steve & Ola,"21 (3,6,6,6)",Cha-Cha-Cha,"""Treasure""—Bruno Mars",Safe
Frankie & Kevin,"30 (7,7,8,8)",Charleston,"""Happy Days""—Pratt & McClain",Safe
,,,,
Judges' votes to save,,,,
,,,,
Revel Horwood: Jennifer & Tristan,,,,
Bussell: Jennifer & Tristan,,,,
Tonioli: Jennifer & Tristan,,,,
"Goodman: Did not vote, but would have voted to save Jennifer & Tristan",,,,
,,,,
Week 3: Movie Week,,,,
,,,,
